"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","id"
"USGS-432943089262201",43.4952607,-89.439564,NA
"USGS-433122088545700",43.522766,-88.9159425,"nhd_120053596"
"USGS-433226089175500",43.5405385,-89.2987285,"nhd_6866681"
"USGS-433239089175800",43.5441496,-89.2995618,"nhd_6866681"
"USGS-433239089223500",43.5441491,-89.3765076,"nhd_6866693"
"USGS-433245089173000",43.5458163,-89.2917839,"nhd_6866681"
"USGS-433257089165100",43.5491496,-89.2809504,"nhd_6866681"
"USGS-433458088560600",43.5827641,-88.9351102,"nhd_13281252"
"USGS-433545089482400",43.5958133,-89.8067914,"nhd_14708598"
"USGS-433606090060000",43.6016444,-90.1001266,NA
"USGS-433632088100200",43.6088845,-88.1673186,"nhd_12161210"
"USGS-433926088132500",43.6572166,-88.2237094,"nhd_12161138"
"USGS-434412088590700",43.7366486,-88.9853902,"nhd_6864901"
"USGS-434414089282400",43.7372009,-89.4734551,"nhd_6866497"
"USGS-434500089082200",43.7499805,-89.1395599,"nhd_6866527"
"USGS-434515089124000",43.7541466,-89.211228,"nhd_6866527"
"USGS-434542089073000",43.7616472,-89.1251153,"nhd_6866527"
"USGS-434558089260600",43.7660895,-89.4351212,"nhd_6866497"
"USGS-434711089193500",43.7863678,-89.3265082,NA
"USGS-434720089201600",43.7888677,-89.3378973,"nhd_6866497"
"USGS-434748089195800",43.7966455,-89.3328972,"nhd_6866461"
"USGS-434756089020500",43.7988889,-89.0347222,"nhd_120052176"
"USGS-434813089204000",43.8035898,-89.3445641,NA
"USGS-434824089083200",43.8066468,-89.1423383,NA
"USGS-434829087582700",43.8080556,-87.9741667,"nhd_12175156"
"USGS-434840089000001",43.8111111,-89,"nhd_120052176"
"USGS-434840089152800",43.8110904,-89.257896,"nhd_6866471"
"USGS-434911088583000",43.8197036,-88.9751133,"nhd_120052176"
"USGS-434928088553601",43.8244444,-88.9266667,NA
"USGS-434928088570000",43.8244444,-88.95,"nhd_120052176"
"USGS-434948088552200",43.8299819,-88.9228904,"nhd_6864797"
"USGS-435009088550100",43.8358153,-88.917057,"nhd_6864797"
"USGS-435152088123100",43.8644366,-88.2087116,"nhd_12176166"
"USGS-435255088243101",43.8819444,-88.4086111,"nhd_120052443"
"USGS-435255088262301",43.8819444,-88.4397222,"nhd_120052443"
"USGS-435313089392000",43.8869189,-89.6556799,"nhd_6866401"
"USGS-435430089350700",43.9083082,-89.5854014,"nhd_6866377"
"USGS-435438089352300",43.9105303,-89.5898459,"nhd_6866375"
"USGS-435447091042600",43.9130208,-91.0740244,NA
"USGS-435457087432401",43.9158333,-87.7233333,NA
"USGS-435527087562701",43.92416,-87.9409262,"nhd_12175132"
"USGS-435527087562702",43.92416,-87.9409262,"nhd_12175132"
"USGS-435534087561101",43.9261045,-87.9364816,"nhd_12175132"
"USGS-435534087561102",43.9261045,-87.9364816,"nhd_12175132"
"USGS-435613087430801",43.9369444,-87.7188889,NA
"USGS-435842089231400",43.9783098,-89.3873435,"nhd_6866319"
"USGS-435934088274300",43.9927632,-88.4620574,"nhd_120052443"
"USGS-440119088295901",44.0219444,-88.4997222,"nhd_120052443"
"USGS-440127088100600",44.0241581,-88.1684342,NA
"USGS-440128088271201",44.0244444,-88.4533333,"nhd_120052443"
"USGS-440434087392001",44.0761111,-87.6555556,NA
"USGS-440531087390800",44.0919444,-87.6522222,NA
"USGS-440615089291101",44.1041405,-89.4865103,NA
"USGS-440615089291102",44.1041405,-89.4865103,NA
"USGS-440654089120500",44.1149782,-89.2015066,"nhd_9036249"
"USGS-440744088253701",44.1288889,-88.4269444,"nhd_120052443"
"USGS-440745088232701",44.1291667,-88.3908333,"nhd_120052443"
"USGS-440903087331001",44.1508333,-87.5527778,NA
"USGS-440906088480000",44.1516478,-88.8001116,"nhd_9033933"
"USGS-440912089092000",44.1508118,-89.1578946,"nhd_9036217"
