"dowlknum","site_id"
"85003100",NA
"79000599","nhd_1877463"
"85001900","nhd_120053689"
"79000599","nhd_13108815"
"79005000",NA
"79001500",NA
"85001500","nhd_120053149"
"79004500",NA
"79004400",NA
"79003500",NA
"79003600",NA
"79002200",NA
"79002100",NA
"79004700",NA
"79003800",NA
"25000100","nhd_1874843"
"25000200",NA
"79003700",NA
"79003200","nhd_2439754"
"79004000",NA
"79003900",NA
"79000502","nhd_2115908"
"79001300","nhd_2119162"
"79000600",NA
"79004300",NA
"79003400",NA
"25000100","nhd_1874843"
"25001200","nhd_2028595"
"25006200",NA
"25001600","nhd_1873527"
"25005900",NA
"25007600",NA
"25002600","nhd_1873527"
"25001799",NA
"79004200",NA
"25000900","nhd_1873527"
"25007700",NA
"25007800",NA
"25001705","nhd_1873471"
"25007401",NA
"25005000",NA
"25001702","nhd_1873511"
"25008100",NA
"25004600",NA
"79004100",NA
"25001100","nhd_2028599"
"25002400","nhd_1873645"
"25003800",NA
"25008000",NA
"25008200",NA
"55000400","nhd_2439768"
"25005600",NA
"25007500",NA
"79000599","nhd_13107553"
"25001703","nhd_1873471"
"25007100",NA
"79005100",NA
"25002800",NA
"25005400",NA
"25004900",NA
"25005300",NA
"25006400",NA
"25001704","nhd_1873471"
"25006500",NA
"25001300","nhd_2028593"
"25007402",NA
"55000500","nhd_2439776"
"25006600",NA
"25006900",NA
"25001000","nhd_2028591"
"25000500","nhd_1873527"
"25005800",NA
"25005200",NA
"25000600",NA
"25007900",NA
"25002700","nhd_2028607"
"25000800","nhd_1873527"
"25002500","nhd_1873565"
"25000400","nhd_1873641"
"25002100","nhd_1873517"
"25000700","nhd_1873527"
"55005900",NA
"55005600",NA
"25001701","nhd_1873471"
"25000300","nhd_13107571"
"19022400",NA
"25001900","nhd_1873493"
"19001400",NA
"25005500",NA
"19022600",NA
"25006000",NA
"19042200",NA
"19045900",NA
"19032100",NA
"19042300",NA
"19045200",NA
"19034000",NA
"20000600",NA
"19033300",NA
"25006700",NA
"19034200","nhd_1876657"
"25008400",NA
"25007200",NA
"25001799","nhd_120051919"
"74001700",NA
"66009100",NA
"19034900",NA
"19032400",NA
"20002500",NA
"19046200",NA
"19001500",NA
"25002300",NA
"19032600",NA
"19033900",NA
"19000200","nhd_1873489"
"19044600","nhd_1876497"
"19042800",NA
"19035400",NA
"25007000",NA
"19043000",NA
"19041900",NA
"74006500",NA
"25001707",NA
"25005700",NA
"25003900",NA
"19034500",NA
"19046300",NA
"19045600",NA
"19033600",NA
"25008300",NA
"66000300",NA
"66009500",NA
"19034800",NA
"19034400",NA
"25006800","nhd_2030903"
"66012500",NA
"19032800",NA
"19046600",NA
"19042100",NA
"19042000",NA
"19000400","nhd_1873435"
"19035200",NA
"25002200",NA
"25005100",NA
"19001900",NA
"74000200",NA
"19043300",NA
"25007300",NA
"19035000",NA
"19032900",NA
"25001800","nhd_1873493"
"19043100",NA
"25004100",NA
"19033700",NA
"19033800",NA
"66012700",NA
"25006100",NA
"19002200","nhd_1876327"
"19035500",NA
"66000100","nhd_2031819"
"19046400",NA
"19000100","nhd_1873459"
"19032500",NA
"19045700",NA
"19035300",NA
"66000500",NA
"19045300",NA
"25001706","nhd_1873471"
"25004200",NA
"19033500",NA
"19041800",NA
"19032700",NA
"19022500",NA
"25004700",NA
"19001200",NA
"19046500",NA
"19000600","nhd_167578173"
"25004500",NA
"19046000",NA
"25002000","nhd_1873503"
"19046100",NA
"19033000",NA
"19033200",NA
"19034100",NA
"19033100",NA
"25006300",NA
"19035100",NA
"20002600",NA
"19002000","nhd_2030379"
"66000400",NA
"19000300","nhd_1101070"
"70001800","nhd_2385416"
"66003400",NA
"19003300","nhd_2385384"
"70002000","nhd_2385726"
"19002800","nhd_2385396"
"66005400","nhd_2031741"
"70026600",NA
"19035900",NA
"70017100",NA
"70020000","nhd_2385658"
"70030100","nhd_2385796"
"66007600","nhd_2031753"
"66002900","nhd_2031703"
"19039500",NA
"70032900",NA
"70002800",NA
"70035800",NA
"19039000",NA
"19002603","nhd_1876681"
"66010300",NA
"19001800","nhd_1876839"
"19040100",NA
"66008300",NA
"70026000",NA
"70003700","nhd_2385748"
"66000800","nhd_2031955"
"19037500",NA
